appid,category_id
10,72
10,90
10,130
10,133
10,193
10,224
10,339
10,340
10,371
10,436
20,90
20,130
20,133
20,193
20,224
20,324
20,339
20,340
20,371
20,436
30,72
30,130
30,133
30,224
30,257
30,339
30,371
40,72
40,90
40,130
40,133
40,193
40,224
40,324
40,339
40,340
40,371
40,436
50,53
50,130
50,133
50,142
50,154
50,286
50,339
50,371
60,90
60,130
60,133
60,193
60,224
60,339
60,340
60,371
70,53
70,72
70,75
70,90
70,130
70,133
70,142
70,154
70,193
70,201
70,224
70,286
70,339
70,340
70,371
70,397
70,415
80,53
80,72
80,130
80,133
80,142
80,224
80,339
80,371
130,53
130,130
130,142
130,154
130,286
130,339
219,142
219,423
220,10
220,11
220,40
220,53
220,68
220,75
220,85
220,119
220,129
220,130
220,142
220,154
220,169
220,201
220,224
220,257
220,286
220,324
220,339
220,343
220,397
220,415
240,10
240,40
240,68
240,72
240,125
240,130
240,133
240,201
240,224
240,257
240,337
240,339
240,343
240,371
280,130
280,142
280,324
300,40
300,53
300,68
300,72
300,85
300,125
300,130
300,133
300,224
300,257
300,337
300,339
300,343
300,371
320,40
320,130
320,133
320,224
320,286
320,339
320,343
320,371
340,10
340,53
340,130
340,142
340,154
340,169
340,224
340,257
340,286
340,339
340,343
360,130
360,133
360,224
360,257
360,286
360,339
360,343
360,371
380,11
380,40
380,53
380,68
380,75
380,130
380,142
380,154
380,169
380,201
380,224
380,257
380,286
380,337
380,339
380,343
400,10
400,11
400,40
400,68
400,75
400,130
400,142
400,154
400,169
400,218
400,224
400,257
400,339
400,343
400,397
400,415
420,10
420,11
420,40
420,53
420,68
420,75
420,130
420,142
420,154
420,169
420,201
420,224
420,257
420,286
420,337
420,339
420,343
440,11
440,68
440,72
440,85
440,108
440,119
440,125
440,133
440,169
440,218
440,224
440,257
440,307
440,337
440,339
440,343
440,371
440,397
440,415
500,11
500,40
500,53
500,68
500,72
500,75
500,130
500,133
500,142
500,160
500,169
500,192
500,201
500,224
500,257
500,283
500,337
500,339
500,343
500,371
550,11
550,40
550,53
550,68
550,72
550,75
550,85
550,90
550,119
550,129
550,130
550,133
550,142
550,160
550,169
550,192
550,201
550,224
550,257
550,286
550,324
550,337
550,339
550,340
550,343
550,371
550,380
550,397
550,415
570,72
570,85
570,108
570,119
570,129
570,133
570,160
570,175
570,257
570,339
570,371
620,11
620,68
620,75
620,85
620,119
